"1","2","3"
"YMR198W",6,6,6
"YBL052C",4,4,4
"YIL126W",4,4,4
"YJR137C",5,2,2
"YCR035C",4,4,4
"YDR219C",5,2,2
"YNL176C",5,2,2
"YLR455W",4,3,4
"YCRX04W",4,5,5
"YIL050W",1,1,1
"YIL106W",1,1,1
"YBL097W",4,4,4
"YCL014W",6,5,5
"YJL099W",5,2,2
"YKL048C",5,2,2
"YGL255W",6,6,6
"YJL137C",4,4,4
"YBR104W",6,6,6
"YCR073C",1,1,1
"YDL198C",2,2,2
"YDR389W",6,6,6
"YIL131C",4,4,4
"YMR215W",5,2,2
"YIL158W",2,2,2
"YGL101W",5,2,2
"YJR110W",4,4,4
"YOL012C",4,4,4
"YBL032W",4,4,4
"YBR043C",5,2,2
"YCL012W",2,2,2
"YCL013W",5,5,5
"YCL062W",5,5,5
"YCL063W",4,4,4
"YDR324C",4,3,4
"YDR325W",4,4,4
"YGR108W",1,1,1
"YPR119W",1,1,1
"YOL069W",2,2,2
"YHR023W",2,5,5
"YPL242C",2,2,2
"YJR092W",2,5,5
"YLR353W",2,5,5
"YCL037C",4,4,4
"YMR001C",2,2,2
"YGL021W",1,1,1
"YOR025W",4,4,4
"YDR146C",4,3,4
"YLR131C",4,3,4
"YNL053W",6,6,6
"YPR167C",1,1,1
"YML033W",2,2,2
"YML034W",4,4,4
"YOR315W",2,2,2
"YHL028W",2,2,2
"YPL127C",4,4,4
"YLL021W",3,5,5
"YDR297W",4,4,4
"YJR043C",4,4,4
"YDR113C",3,2,3
"YNL126W",4,5,5
"YEL061C",4,5,5
"YHR172W",4,4,4
"YPR141C",6,6,6
"YLR045C",4,5,5
"YGR140W",3,2,3
"YBL063W",5,2,3
"YDR356W",6,5,5
"YJR006W",4,4,4
"YBL003C",4,4,4
"YBL002W",4,4,4
"YMR190C",4,4,4
"YPL016W",4,4,4
"YFR037C",4,4,4
"YER001W",1,1,1
"YER003C",1,1,1
"YDL093W",1,1,1
"YIR017C",4,4,4
"YKR001C",5,2,3
"YER118C",6,6,6
"YER016W",6,6,6
"YKR010C",4,4,4
"YHR061C",5,5,3
"YEL017W",5,2,3
"YLL062C",4,4,4
"YJL118W",3,2,3
"YDR179C",1,1,1
"YER018C",3,2,3
"YBR156C",1,1,1
"YBR184W",5,2,3
"YLR228C",4,3,4
"YDR252W",5,2,3
"YBR007C",3,2,3
"YEL018W",4,4,4
"YER019W",3,2,3
"YFR038W",4,4,4
"YLL061W",6,6,6
"YKL049C",3,2,3
"YOR188W",3,5,5
"YJR076C",1,5,5
"YJL092W",4,4,4
"YCR084C",4,4,4
"YJR112W",5,6,3
"YLL046C",3,2,3
"YDR464W",4,4,4
"YKL068W",4,4,4
"YDR451C",4,3,4
"YCR085W",4,4,4
"YMR003W",5,2,3
"YNR009W",4,4,4
"YOR073W",5,2,2
"YLL047W",4,4,4
"YDR366C",3,2,3
"YCR086W",4,5,5
"YIL169C",5,2,2
"YKL052C",1,5,5
"YKL053W",3,4,3
"YKL069W",4,4,4
"YPL116W",4,3,4
"YPL264C",5,2,3
"YBR200W",6,6,6
"YBR202W",4,4,4
"YPR019W",4,3,4
"YBL023C",4,4,4
"YEL032W",4,4,4
"YPL058C",6,6,6
"YGR035C",2,2,2
"YHL026C",2,2,2
"YMR254C",2,2,2
"YMR031C",4,4,4
"YLR254C",6,6,6
"YOR273C",2,2,2
"YLR015W",4,4,4
"YBR038W",2,5,5
"YLR014C",4,3,4
"YOR274W",4,3,4
"YGL116W",1,1,1
"YGR092W",2,2,2
"YBR138C",2,2,2
"YOR058C",2,2,2
"YCR042C",4,3,4
"YOR229W",4,3,4
"YKL130C",2,2,2
"YIL162W",2,2,2
"YDL138W",6,6,6
"YDL048C",2,2,2
"YGR143W",2,2,2
"YKL129C",2,2,2
"YIL167W",4,4,4
"YHR152W",2,2,2
"YJL079C",6,6,6
"YAR018C",2,2,2
"YAL022C",6,6,6
"YGR279C",6,5,5
"YGL201C",4,3,4
"YNL057W",2,2,2
"YML119W",2,2,2
"YOL137W",2,2,2
"YPL186C",5,2,2
"YCL038C",6,6,6
"YKR021W",2,2,2
"YPR157W",2,2,2
"YJL051W",4,4,4
"YOL014W",2,2,2
"YGR230W",6,5,5
