"1","2","3"
"YMR198W",1,5,1
"YBL052C",1,1,1
"YIL126W",1,2,1
"YJR137C",1,3,3
"YCR035C",1,1,1
"YDR219C",1,3,3
"YNL176C",1,3,3
"YLR455W",2,1,1
"YCRX04W",1,3,3
"YIL050W",1,3,2
"YIL106W",2,2,2
"YBL097W",1,1,1
"YCL014W",1,5,3
"YJL099W",1,3,3
"YKL048C",1,2,3
"YGL255W",3,2,3
"YJL137C",1,1,1
"YBR104W",3,2,3
"YCR073C",2,1,2
"YDL198C",3,2,3
"YDR389W",2,5,2
"YIL131C",1,1,1
"YMR215W",1,3,3
"YIL158W",3,3,3
"YGL101W",1,3,3
"YJR110W",2,1,1
"YOL012C",1,1,1
"YBL032W",1,1,1
"YBR043C",1,2,3
"YCL012W",3,3,3
"YCL013W",1,3,3
"YCL062W",1,3,3
"YCL063W",1,3,3
"YDR324C",3,1,1
"YDR325W",1,1,1
"YGR108W",2,2,2
"YPR119W",2,2,2
"YOL069W",3,2,3
"YHR023W",3,2,3
"YPL242C",3,2,3
"YJR092W",3,2,3
"YLR353W",3,2,3
"YCL037C",2,1,1
"YMR001C",3,3,3
"YGL021W",2,2,2
"YOR025W",3,1,1
"YDR146C",2,1,1
"YLR131C",3,2,1
"YNL053W",2,5,2
"YPR167C",1,2,1
"YML033W",3,3,3
"YML034W",3,1,1
"YOR315W",3,2,3
"YHL028W",3,3,3
"YPL127C",2,1,1
"YLL021W",4,2,4
"YDR297W",2,1,1
"YJR043C",2,1,1
"YDR113C",4,1,1
"YNL126W",2,1,1
"YEL061C",2,1,1
"YHR172W",2,1,1
"YPR141C",2,1,1
"YLR045C",1,2,1
"YGR140W",4,2,4
"YBL063W",1,2,4
"YDR356W",2,5,1
"YJR006W",2,1,1
"YBL003C",4,1,1
"YBL002W",4,1,1
"YMR190C",1,1,1
"YPL016W",1,1,1
"YFR037C",4,1,1
"YER001W",2,1,2
"YER003C",2,1,1
"YDL093W",2,1,1
"YIR017C",2,1,1
"YKR001C",1,2,4
"YER118C",2,2,2
"YER016W",2,1,1
"YKR010C",1,1,1
"YHR061C",1,2,4
"YEL017W",1,4,4
"YLL062C",2,1,1
"YJL118W",4,4,4
"YDR179C",2,5,2
"YER018C",4,2,4
"YBR156C",2,2,2
"YBR184W",1,4,4
"YLR228C",2,1,1
"YDR252W",1,1,1
"YBR007C",4,4,4
"YEL018W",2,1,1
"YER019W",4,1,1
"YFR038W",2,1,1
"YLL061W",4,4,4
"YKL049C",4,2,4
"YOR188W",4,2,4
"YJR076C",1,2,2
"YJL092W",1,1,1
"YCR084C",2,1,1
"YJR112W",1,2,4
"YLL046C",4,4,4
"YDR464W",2,1,1
"YKL068W",1,4,4
"YDR451C",2,1,1
"YCR085W",1,4,4
"YMR003W",1,4,4
"YNR009W",2,1,1
"YOR073W",1,3,3
"YLL047W",4,4,4
"YDR366C",4,4,4
"YCR086W",4,1,1
"YIL169C",1,3,3
"YKL052C",2,2,1
"YKL053W",4,4,4
"YKL069W",2,1,1
"YPL116W",2,1,1
"YPL264C",1,4,4
"YBR200W",2,5,2
"YBR202W",3,1,1
"YPR019W",3,1,1
"YBL023C",3,1,1
"YEL032W",2,1,1
"YPL058C",3,3,3
"YGR035C",3,3,3
"YHL026C",3,3,3
"YMR254C",3,3,3
"YMR031C",3,2,3
"YLR254C",3,2,3
"YOR273C",3,3,3
"YLR015W",2,1,1
"YBR038W",3,2,3
"YLR014C",2,1,1
"YOR274W",2,1,1
"YGL116W",2,2,2
"YGR092W",3,2,3
"YBR138C",3,3,3
"YOR058C",3,2,3
"YCR042C",5,1,1
"YOR229W",3,3,3
"YKL130C",3,3,3
"YIL162W",3,2,3
"YDL138W",5,5,5
"YDL048C",3,3,3
"YGR143W",3,3,3
"YKL129C",3,3,3
"YIL167W",5,2,1
"YHR152W",3,2,3
"YJL079C",3,3,3
"YAR018C",3,2,3
"YAL022C",3,2,3
"YGR279C",2,5,2
"YGL201C",2,1,1
"YNL057W",3,3,3
"YML119W",3,3,3
"YOL137W",3,3,3
"YPL186C",5,3,5
"YCL038C",3,2,3
"YKR021W",3,3,3
"YPR157W",3,3,3
"YJL051W",3,1,1
"YOL014W",3,3,3
"YGR230W",2,1,1
"YLR190W",3,2,1
"YMR032W",3,2,3
"YOL070C",3,3,3
"YLR297W",3,3,3
"YHR151C",3,3,3
"YNL058C",3,3,3
"YER111C",2,1,1
"YML109W",4,2,4
"YNR016C",4,2,1
"YBR067C",5,4,5
"YGL055W",2,1,1
"YLR050C",5,4,5
"YGR109C",2,1,2
"YPR120C",2,1,1
"YDL127W",2,2,2
"YNL289W",2,2,2
"YPL256C",2,5,2
"YMR199W",2,1,2
"YJL187C",2,2,2
"YDL003W",4,1,1
"YMR076C",2,1,1
"YKL042W",2,1,1
"YFL008W",2,1,1
"YPL241C",4,1,1
"YMR078C",2,1,1
"YLR212C",2,1,1
"YNL225C",2,2,1
"YPL209C",4,2,4
"YJL074C",2,1,1
"YNL233W",4,4,4
"YLR313C",4,5,4
"YGR041W",2,2,1
"YGR152C",2,5,2
"YDR507C",2,2,2
"YIL159W",2,1,1
"YGL027C",4,1,1
"YML102W",4,1,1
"YPR018W",4,1,1
"YBL035C",2,1,1
"YNL102W",4,1,1
"YBR278W",4,1,1
"YPR175W",2,1,1
"YNL262W",2,1,1
"YBR088C",4,1,1
"YLR103C",2,1,1
"YAR007C",4,1,1
"YNL312W",4,1,1
"YJL173C",4,1,1
"YER070W",2,1,1
"YOR074C",2,1,1
"YDL164C",4,1,1
"YKL045W",2,1,1
"YBR252W",2,1,1
"YLR032W",2,1,1
"YML060W",2,1,1
"YDR097C",4,1,1
"YNL082W",2,1,1
"YOL090W",2,1,1
"YLR383W",2,1,1
"YKL113C",4,1,1
"YLR234W",2,1,1
"YPL153C",4,1,1
"YDL101C",2,1,1
"YML021C",2,1,1
"YML061C",4,1,1
"YMR179W",2,1,1
"YML027W",2,1,1
"YDL227C",2,1,1
"YLR382C",2,1,1
"YJL196C",2,1,1
"YKL165C",2,1,1
"YLL002W",4,1,1
"YPL124W",2,1,1
"YKL101W",2,2,2
"YLR457C",4,1,1
"YBR070C",4,4,4
"YLR233C",2,1,1
"YPL057C",2,1,1
"YBR073W",4,1,1
"YGL200C",4,4,4
"YHR153C",2,1,1
"YNL272C",4,2,4
"YKR077W",2,1,1
"YDL105W",2,1,1
"YPL267W",2,1,2
"YDL156W",2,1,1
"YOL017W",2,1,1
"YBR071W",4,4,4
"YLL022C",2,1,1
"YLR236C",4,1,1
"YCL022C",4,1,1
"YCL024W",2,2,2
"YLR121C",4,4,4
"YHR154W",2,1,1
"YHR110W",4,4,4
"YDL010W",2,1,1
"YPR174C",4,4,4
"YJL181W",4,4,4
"YLR183C",4,1,1
"YOL007C",4,4,4
"YIL026C",4,4,4
"YKL108W",2,1,1
"YLR326W",4,4,4
"YLR381W",4,2,1
"YNL273W",2,1,1
"YJL018W",4,1,1
"YBR089W",4,1,1
"YLR349W",4,1,1
"YCL061C",2,1,1
"YDR309C",5,2,5
"YKR013W",4,4,4
"YDL018C",4,4,4
"YKR083C",2,2,1
"YDR383C",4,4,4
"YDR013W",2,1,1
"YGR238C",2,5,2
"YNL309W",2,1,1
"YPL208W",2,1,1
"YLR376C",2,1,1
"YNL300W",4,4,4
"YAR003W",2,1,1
"YCL060C",4,1,1
"YDL103C",2,1,1
"YNL303W",2,1,1
"YNL310C",4,4,4
"YOR144C",4,1,1
"YDR488C",2,1,1
"YOR026W",2,1,2
"YIL140W",2,1,1
"YKL067W",4,1,1
"YJL115W",2,1,1
"YDL197C",2,1,1
"YCR065W",4,1,1
"YBR275C",2,1,1
"YKL127W",4,1,1
"YAR008W",2,1,1
"YDL095W",2,5,2
"YOL019W",4,4,4
"YLR151C",2,1,1
"YOR284W",4,4,4
"YMR048W",2,1,1
"YJR155W",2,1,1
"YLR126C",2,2,2
"YNL304W",4,4,4
"YGR189C",4,1,1
"YAL034W-A",4,2,4
"YBR276C",2,5,2
"YDL096C",4,1,1
"YFR026C",2,5,2
"YFR027W",4,1,1
"YNL072W",2,1,1
"YDL179W",2,2,1
"YLR079W",2,2,2
"YJL194W",2,1,1
"YLR274W",2,1,1
"YGR044C",2,1,1
"YJL157C",2,5,2
"YKL185W",2,1,1
"YHR005C",2,5,2
"YNR001C",5,2,1
"YKL150W",3,5,3
"YLR395C",5,1,1
"YOR065W",5,2,1
"YDL181W",5,1,5
"YGR183C",3,2,1
"YLR258W",2,1,1
"YML110C",5,2,1
"YLR273C",2,1,1
"YCR005C",5,2,1
"YCL040W",5,2,5
"YMR256C",3,1,1
"YIL009W",2,1,1
"YLL040C",5,2,5
"YGR281W",3,3,3
"YBR083W",3,2,3
"YBR054W",5,3,5
"YKL116C",2,5,2
"YPR002W",5,1,1
"YNR067C",5,2,5
"YBR158W",2,2,2
"YDL117W",2,2,1
"YMR007W",3,3,3
"YNL046W",5,3,5
"YOR264W",5,3,5
"YPL066W",3,3,3
"YBR052C",5,3,5
"YPL158C",5,2,5
"YHR022C",5,3,5
"YPL004C",3,3,3
"YBR157C",5,3,5
"YNL078W",2,2,1
"YOR066W",5,2,1
"YBR053C",5,3,5
"YDR511W",5,3,5
"YDR033W",3,3,3
"YKL163W",5,2,5
"YBR231C",5,2,5
"YDR368W",5,5,5
"YLR049C",5,4,5
"YLR286C",5,2,5
"YHR038W",2,1,1
"YGL089C",2,5,2
"YPL187W",2,5,2
"YNL173C",2,5,2
"YJR148W",5,1,1
"YOR317W",5,2,5
"YOR316C",5,2,5
"YPL014W",5,4,5
"YJL078C",5,2,5
"YKL161C",3,3,3
"YHR113W",5,1,5
"YDL119C",5,3,5
"YDL124W",5,2,5
"YHR039C",2,1,1
"YDR493W",5,2,5
"YGL028C",5,3,5
"YNL073W",5,1,1
"YER017C",5,2,1
"YKL066W",4,1,1
"YAL040C",2,2,2
