"1" "2" "3" "4" "5" "6"
"MTERF2" 1 2 3 3 3 3
"SEPP1" 4 5 2 2 1 3
"PIN1" 4 5 4 4 2 3
"EPB41L2" 1 1 1 1 1 1
"LUC7L3" 1 2 3 3 3 3
"AA059077" 1 1 1 1 1 1
"LUM" 3 2 5 5 5 4
"OPN3" 4 1 2 4 5 5
"CPT1B" 3 2 1 5 1 4
"PLPPR4" 1 1 1 1 1 1
"CLDN11" 4 5 1 2 3 4
"FAM69A" 1 1 1 1 1 1
"SASH1" 5 3 3 4 2 4
"PLXNC1" 4 3 2 2 5 5
"ROR1" 2 5 4 1 2 4
"ARHGAP20" 2 1 3 4 5 5
"H16592" 1 1 1 1 1 1
"SESN3" 1 1 1 1 1 1
"CCNG1" 5 5 4 4 2 3
"H14499" 1 1 1 1 1 1
"CDKN1C" 5 3 3 4 3 3
"GRIA1" 5 4 3 4 5 5
"VAMP4" 2 4 4 2 1 5
"DTX3L" 2 2 3 5 1 3
"ABCA5" 5 4 4 2 5 5
"H61273" 1 1 1 1 1 1
"N63445" 1 1 1 1 1 1
"W69445" 1 1 1 1 1 1
"R60336" 1 1 1 1 1 1
"IGDCC4" 1 1 1 1 1 1
"H15535" 1 1 1 1 1 1
"FAXC" 1 1 1 1 1 1
"FMOD" 3 2 5 5 5 4
"PIH1D1" 5 3 2 4 5 5
"WDFY3" 2 4 1 5 1 4
"R34653" 1 1 1 1 1 1
"CAT" 4 2 5 5 4 4
"THBS2" 5 3 3 2 5 2
"IFT20" 2 3 4 2 1 3
"FLJ10849" 1 1 1 1 1 1
"CDC42BPA" 2 4 4 1 1 3
"H05133" 1 1 1 1 1 1
"DOCK8" 4 5 3 2 5 2
"AA057433" 1 1 1 1 1 1
"N52170" 1 1 1 1 1 1
"R71462" 1 1 1 1 1 1
"R60996" 1 1 1 1 1 1
"ULK2" 4 2 4 1 1 4
"T85754" 1 1 1 1 1 1
"R59736" 1 1 1 1 1 1
"N50955" 1 1 1 1 1 1
"MME" 3 2 5 1 2 4
"ADGRD1" 5 1 3 4 5 5
"DPP4" 4 3 2 2 5 4
"H00856" 1 1 1 1 1 1
"N74313" 1 1 1 1 1 1
"TMEM106B" 5 3 2 2 5 2
