"1" "2" "3" "4" "5" "6"
"MTERF2" 1 5 6 2 1 2
"SEPP1" 4 4 3 3 4 1
"PIN1" 4 4 2 1 5 6
"EPB41L2" 2 1 6 3 5 6
"LUC7L3" 1 1 6 3 4 2
"AA059077" 6 1 6 4 5 6
"LUM" 3 1 3 2 5 2
"OPN3" 6 1 3 1 5 6
"CPT1B" 3 5 3 2 5 2
"PLPPR4" 2 5 6 3 5 6
"CLDN11" 4 1 3 3 5 2
"FAM69A" 2 1 3 3 5 6
"SASH1" 6 4 3 4 5 6
"PLXNC1" 4 1 3 3 5 6
"ROR1" 2 4 2 3 5 6
"ARHGAP20" 6 6 2 1 6 6
"H16592" 6 5 6 3 5 6
"SESN3" 6 5 6 3 5 6
"CCNG1" 5 4 2 4 4 6
"H14499" 6 5 3 3 5 6
"CDKN1C" 6 4 6 4 1 6
"GRIA1" 6 6 3 1 1 6
"VAMP4" 2 1 3 3 5 2
"DTX3L" 2 5 6 3 4 6
"ABCA5" 6 4 3 3 5 2
"H61273" 2 5 6 3 5 6
"N63445" 2 5 3 3 5 6
"W69445" 2 5 6 3 5 6
"R60336" 6 3 6 3 5 6
"IGDCC4" 6 5 6 3 5 6
"H15535" 6 3 6 5 4 6
"FAXC" 6 3 6 3 4 2
"FMOD" 3 1 3 2 5 2
"PIH1D1" 6 6 6 1 5 6
"WDFY3" 2 5 3 3 5 6
"R34653" 2 5 6 3 5 6
"CAT" 4 1 3 2 5 2
"THBS2" 5 2 3 4 1 6
"IFT20" 2 1 3 3 5 6
"FLJ10849" 2 1 3 3 5 6
"CDC42BPA" 2 1 2 3 4 6
"H05133" 6 5 6 4 5 2
"DOCK8" 4 4 3 3 5 1
"AA057433" 6 5 6 3 5 6
"N52170" 2 5 6 3 5 6
"R71462" 6 5 6 3 5 6
"R60996" 6 5 3 3 5 6
"ULK2" 4 1 2 3 5 6
"T85754" 2 5 6 4 5 6
"R59736" 6 5 3 3 5 6
"N50955" 6 5 3 4 5 6
"MME" 2 1 4 4 5 2
"ADGRD1" 6 6 3 1 1 6
"DPP4" 4 4 3 3 5 6
"H00856" 6 5 3 4 5 6
"N74313" 2 5 3 3 5 6
"TMEM106B" 6 1 3 3 5 6
"FBN2" 5 1 3 4 5 6
"LAMA2" 6 1 3 3 1 2
"ANXA3" 5 4 3 4 1 6
"AVPI1" 6 5 3 4 5 6
"CRABP2" 6 6 6 4 1 6
"HFL1" 6 1 3 4 5 6
"W78854" 6 5 6 4 5 6
"SQLE" 3 5 3 2 5 2
"FAM198B" 6 1 3 3 5 6
"AD036" 2 1 3 3 5 6
"OSBPL1A" 2 5 3 3 5 2
"WNT2" 5 2 3 4 1 6
"H66594" 6 5 3 3 5 6
"ASNS" 3 1 3 4 5 2
"MEST" 6 5 3 4 5 6
"DHCR24" 4 5 3 4 5 2
"W79348" 6 5 6 4 5 6
"PIM1" 5 1 2 4 5 6
"RHOBTB3" 6 4 3 3 5 2
"AA012995" 6 5 3 3 5 6
"TMEM97" 6 1 3 3 5 6
"SC5D" 3 5 3 2 5 2
"SLC2A12" 6 1 3 3 5 2
"SPTBN1" 6 4 2 4 5 6
"IPO8" 6 6 6 1 5 6
"SLC22A17" 6 1 3 3 5 2
"HMGCR" 3 5 3 2 5 2
"CYP1B1" 4 1 3 4 5 6
"RDH10" 6 5 3 3 5 2
"SYNPO2" 6 5 6 4 5 6
"MID1" 6 6 3 4 1 6
"AA040147" 6 5 6 3 5 6
"PQLC3" 5 1 3 2 5 2
"ELF2" 1 1 6 4 1 6
"HBP1" 6 6 2 6 5 6
"W67250" 4 1 3 3 5 6
"COL3A1" 4 1 3 4 5 6
"PDE8A" 2 5 6 2 4 2
"C1orf198" 6 5 6 3 5 6
"SUSD4" 2 5 6 4 5 6
"SSPN" 4 5 3 3 3 2
"PGRMC2" 6 4 3 4 5 6
"VEZF1" 4 5 6 4 1 2
"TXNIP" 4 6 2 6 1 6
"HMGN3" 3 4 2 2 4 2
