"1" "2" "3" "4" "5" "6"
"AT4G16610" 1 2 1 3 3 3
"AT4G29010" 3 2 3 1 6 1
"AT2G34420" 4 4 5 6 3 3
"AT2G43080" 1 3 3 4 1 3
"AT3G12120" 6 6 6 5 5 3
"AT3G04720" 4 1 6 1 1 2
"AB000623" 6 6 3 5 6 3
"AT1G55020" 4 2 2 1 3 1
"T04323" 3 6 6 5 6 2
"AT1G76100" 1 5 2 6 6 2
"AT3G15730" 5 2 1 2 3 2
"AT3G12500" 4 1 6 2 1 1
"AT5G38430" 1 3 6 5 3 1
"AT1G33960" 1 1 6 1 1 2
"AT1G32060" 1 5 2 6 3 2
"AT5G65110" 5 4 3 2 1 1
"AT1G28670" 3 4 3 2 4 3
"AT4G39260" 4 1 6 1 3 1
"AT2G24180" 2 4 3 2 4 3
"AT2G26740" 5 1 4 1 3 1
"AT5G35630" 1 4 2 5 3 2
"AT3G15350" 3 2 1 5 3 1
"AT2G35790" 4 3 5 6 3 3
"AT3G06860" 2 4 3 2 3 1
"Y11607" 2 4 3 3 5 3
"AT2G34660" 2 4 3 2 3 2
"AT2G33150" 2 4 3 3 3 1
"AT2G23430" 3 2 1 1 6 1
"AT2G39780" 3 2 1 1 6 1
"AT4G25100" 4 3 4 3 3 1
"AB003040" 2 4 3 3 4 3
"AT1G78380" 2 4 3 3 3 1
"AT1G37130" 5 4 3 5 3 3
"Z56278" 2 4 3 3 5 3
"AT1G07890" 2 4 5 3 3 2
"X66017" 5 2 5 3 5 3
"AT4G39330" 5 3 5 1 3 4
"AT5G13930" 4 3 2 3 3 1
"AT3G20230" 1 3 5 4 3 3
"AT4G39980" 1 3 4 1 3 4
"AT1G31580" 1 1 4 1 1 1
"AT4G37980" 1 1 6 3 1 4
"AT2G34770" 5 3 3 3 6 2
"AJ000470" 2 4 5 3 3 5
"L15389" 2 4 5 3 3 5
"AF062901" 3 3 5 6 3 5
"AT4G00860" 1 1 4 1 1 1
"AT3G57260" 1 5 2 3 3 1
"AT4G20360" 3 2 3 4 6 4
"AT3G16480" 2 4 5 6 3 3
"AT3G16520" 2 4 5 3 2 5
"AT2G42010" 4 1 6 2 1 1
"AT2G02990" 4 3 6 3 3 1
"AT1G76490" 2 4 3 3 3 1
"X99793" 2 5 5 3 2 5
"AT4G38530" 4 5 2 2 6 2
"AT1G67980" 1 5 2 3 3 4
"AT5G39190" 4 1 2 6 3 1
"AT3G02520" 2 4 3 3 3 2
"AT3G59700" 1 5 2 2 1 1
"AT4G09320" 4 1 6 1 3 1
"AT3G44300" 1 1 4 1 1 4
"AT5G24090" 4 3 2 1 3 1
"AT3G25230" 5 3 2 1 3 1
"AT1G08830" 4 1 4 1 3 1
"AT1G51680" 1 5 2 3 3 1
"AT1G05010" 1 5 2 3 1 2
"AT4G16760" 1 5 2 3 1 2
"AT5G42650" 1 5 2 3 3 2
"AT5G05730" 1 5 2 1 1 2
"AT1G25220" 1 1 2 1 1 4
"AT3G29200" 1 3 4 4 3 4
"AT4G31500" 1 3 2 1 1 4
"AT3G13920" 1 3 4 1 3 3
"AT3G11170" 1 3 4 4 3 4
"Z26426" 1 5 4 3 2 6
"AT2G29450" 2 3 4 2 3 4
"AF087932" 1 5 4 3 2 6
"AT5G02500" 1 1 6 1 1 2
"AT1G51760" 4 3 5 3 3 1
"AT3G45140" 1 5 2 3 3 1
"AT1G76680" 1 3 4 3 3 1
"AT2G37040" 1 3 4 3 3 1
"AT3G53260" 1 3 4 3 3 1
"AT1G56190" 1 5 4 3 3 4
"Y14590" 1 5 4 4 2 6
"AT3G30775" 1 3 4 1 3 4
"AT5G42180" 1 3 5 4 3 3
"AT4G13940" 5 4 5 1 3 2
"AT3G54640" 1 5 2 3 3 2
"AT5G54810" 1 3 4 1 3 4
"AT3G50970" 4 1 4 1 1 1
"AT3G18780" 5 2 2 3 3 2
"AT1G16060" 3 2 2 1 3 1
"AT5G54160" 1 3 4 3 3 1
"X16432" 1 5 2 1 3 4
"AT1G64280" 1 5 2 3 1 2
"AT5G66570" 1 5 2 3 6 2
"AT4G01850" 5 3 4 1 3 1
"AT1G01470" 4 1 4 1 1 1
"AT2G20340" 1 3 4 4 3 4
"AT3G47290" 4 5 2 2 1 2
"AT2G14610" 1 5 2 3 1 2
"AT1G75040" 1 5 2 3 6 2
"AT5G20620" 2 4 5 6 1 3
"AT2G26330" 3 1 1 2 6 2
"AT2G25080" 2 4 3 2 1 4
"AT4G14980" 5 1 1 2 6 2
"AT1G67750" 6 1 1 2 6 3
"AT1G67550" 4 3 2 6 3 3
"AT5G26000" 1 1 6 2 1 2
"AT5G25980" 5 1 6 2 1 2
"AT2G05510" 4 1 2 6 3 1
"AT1G04820" 2 4 3 3 3 2
"AT1G01480" 1 5 5 3 3 3
"AT3G28930" 1 5 2 3 1 2
"AT4G20890" 2 4 3 4 3 4
"AT2G45820" 4 1 2 6 3 1
"AT3G15210" 5 5 2 2 1 2
"AT5G47770" 1 5 2 3 3 2
"AT2G28740" 5 1 2 1 3 1
"AT2G14850" 4 1 2 6 3 1
"AT4G08500" 1 5 2 3 6 2
"AT3G45640" 1 5 2 3 6 2
"AT5G52350" 1 5 2 3 6 2
"AT3G20600" 4 1 6 2 1 2
"AT5G06940" 1 1 1 2 1 4
"AT1G53840" 1 1 2 6 1 4
"AT2G41110" 3 4 5 6 6 4
"AT5G37770" 4 1 2 1 3 1
"AT2G41100" 4 5 2 3 3 2
"AT5G57560" 4 3 2 1 3 1
"AT1G72260" 4 1 2 2 1 1
